	                         Input Attributes	
Example	Alt	Bar	Fri	Hun	Pat	Price	Rain	Res	Type 	Est	"GoalWillWait"
x1	Yes	No	No	Yes	Some	$$$	No	Yes	French	0-10	 Yes
x2	Yes	No	No	Yes	Full	$	No	No	Thai	30-60	 No
x3	No	Yes	No	No	Some	$	No	No	Burger	0-10	 Yes
x4	Yes	No	Yes	Yes	Full	$	Yes	No	Thai	10-30	 Yes
x5	Yes	No	Yes	No	Full	$$$	No	Yes	French	>60	 No
x6	No	Yes	No	Yes	Some	$$	Yes	Yes	Italian	0-10	 Yes
x7	No	Yes	No	No	None 	$	Yes	No	Burger	0-10	 No
x8	No	No	No	Yes	Some	$$	Yes	Yes	Thai	0-10	 Yes
x9	No	Yes	Yes	No	Full	$	Yes	No	Burger	>60	 No
x10	Yes	Yes	Yes	Yes	Full	$$$	No	Yes	Italian	10-30	 No
x11	No	No	No	No	None	$	No	No	Thai	0-10	 No
x12	Yes	Yes	Yes	Yes	Full	$	No	No	Burger	30-60	 Yes
